公司名稱,職缺內容,所需技能,職缺網址,擅長工具
科熱臺灣有限公司,軟體開發工程師,"負責大型專案的系統開發、測試和維護支援。
內容包含：
1. 系統分析、設計和開發
2. 擬定測試計畫、測試案例/腳本、建置測試環境、準備測試資料和執行測試
3. UAT和系統上線支援

必要條件
– 熟悉前端 HTML/CSS/JavaScript 等技術。
– 熟悉後端 Java 程式開發。
– 熟悉關聯式資料庫設計。
– 了解 Git 開發流程。
– 邏輯分析能力強，可獨立運作，擁有優異解決問題的能力。
– 對英文閱讀能力有信心，能夠快速閱讀技術文件。
– 能有效應付緊湊的專案進度。
",www.104.com.tw/job/6taxy?jobsource=hotjob_chr,"['Java', 'Spring', 'ANSI SQL', 'Oracle', 'HTML', 'J2EE', 'JavaScript', 'CSS', 'VueJS']"
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),DRAM System Engineer - Taichung,"As a DRAM System Engineer in the DRAM Engineering Group at Micron Technology Inc. you are responsible for system-level DRAM validation, system characterization and failure analysis, and experimentation as requested Your day to day functions may include: running and configuring diagnostic software, system debug, designing experiments, analyzing and interpreting data, crafting custom tools and presenting data to customers both inside and outside of Micron. On occasion you may need to carry out these responsibilities at the customers’ site. You will work with other specialists and management within the DRAM Engineering Group as well as other individuals from other departments throughout Micron. You will also collaborate with system enablers outside of Micron.
 
Preferred Skills and Experience with:
•    Hardware: X86, ARM, System, DRAM, Intel, AMD
•    Equipment: Oscilloscope, logic analyzer, motherboard
•    Software: Python, Linux",www.104.com.tw/job/6wqvf?jobsource=hotjob_chr,[]
緯德科技股份有限公司 (TechLink Corporation),Python工程師,"- 熟悉Python語言撰寫實務經驗1年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。
- 配合公司專案需求至客戶端駐點服務。",www.104.com.tw/job/695ve?jobsource=2018indexpoc,['Python']
丸佳資訊有限公司,Python全端工程師,"Python(Flask)、JavaScript、HTML、jQuery
• 1年以上軟體開發經歷
• 熟悉SQL、NoSQL資料庫
• 有RESTful API 設計及實作經驗
• 熟悉版本管理軟體 Git 使用

【加分項目】
• 熟悉",www.104.com.tw/job/6xykm?jobsource=2018indexpoc,"['Python', 'HTML', 'JavaScript', 'jQuery']"
連億國際開發股份有限公司,Python工程師,"徵有python程式背景的工程師，工作內容包含下列：
1. 開發網站(如Django framework)
2. ERP系統串連，如以SQLAlchemy連結Relational Database (SQL Server)開發APP
3.",www.104.com.tw/job/6cma2?jobsource=2018indexpoc,"['Java', 'Python', 'HTML', 'JavaScript', 'jQuery']"
hyve solutions_海峰電腦股份有限公司,Python Software Engineer,"Hyve Solutions is looking for a talented junior/mid-level Python software engineer to help write Python programs. 
You are",www.104.com.tw/job/5tobs?jobsource=2018indexpoc,"['Linux', 'UNIX', 'OOAD', 'OOP', 'C', 'C++', 'Java', 'Python', 'Database Management', 'MySQL']"
香港商易購全球有限公司台灣分公司,Senior Full Stack Developer (Python),"
Buyandship致力於為客戶提供最一致，最高效的服務，努力成為亞洲領先的電子商務跨境物流公司。 我們正在尋找資深Python工程師一同開發Django和Vue.js的專案項目。 您將與我們的designer合作，將美學化為完美像素，開發供",www.104.com.tw/job/6yr8x?jobsource=2018indexpoc,"['Python', 'MS SQL', 'PostgreSQL', 'HTML', 'CSS']"
皓展資訊股份有限公司,Python軟體工程師,"【工作內容】
參與人工智慧與物聯網產品研發

【職位條件】
1. 1年以上開發經驗。 
2. 熟悉Flask或其他Python網頁開發框架。 
3. 具Git版本控制使用經驗。
4. 具Docker Container 經驗尤佳",www.104.com.tw/job/6xj6a?jobsource=2018indexpoc,['Python']
伊諾科技有限公司,Senior Python Data Backend Engineer,"1.Design, develop, and maintain Big Data related projects including EDW system and ETL pipeline for data access, collection, processing and storage.
2.Manage deployment of the Big Data Infrastructure and services on AWS.
3.Dedicate to Big Data and Machine Learning Platform using Apache Spark and related technologies.
4.Investigate, survey and evaluate various state-of-the-art technologies.
5.Introduce new technologies and tackle the derived problems.
6.Implement and popularize excellent software development processes and best practices.",www.104.com.tw/job/6qwx5?jobsource=2018indexpoc,"['Linux', 'Python']"
欣創科技有限公司,Python工程師(PN001),"+ 具備 Python 實務經驗 
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助 

加分 
++ 有使用 Python 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗",www.104.com.tw/job/6kgjo?jobsource=2018indexpoc,['Python']
富騰企管顧問有限公司,Python開發工程師,"職位描述：
1.負責項目基礎框架設計及構建。
2.負責公司python項目開發和維護，進行需求分析和功能設計。
3.具備需求分析能力，以及較強的邏輯分析和獨立解決問題能力。

福利制度
◆ 獎金 / 禮品類  
1.年終獎金  2.",www.104.com.tw/job/6qkea?jobsource=2018indexpoc,"['Python', 'MySQL', 'PostgreSQL']"
雲享資訊有限公司,初階 Python 工程師,"1. 使用 Python 作業
2. 主要工作內容為整理資料以及簡單的功能編寫
3. 了解基本數據概念
4. 協助分析師進行專案研究",www.104.com.tw/job/6y3fg?jobsource=2018indexpoc,"['Python', 'Excel', 'PowerPoint', 'Word']"
捷通軟體股份有限公司,[高薪獵才] 誠徵Python高手,"您是一名頂尖的軟體工程師嗎？! 與世界頂尖專家一同工作，負責AI系統研發，舞台接軌國際，只看能力~不看年紀! 
公司提供您一個自我實現的平台，歡迎有志挑戰國際市場的人才，加入我們的頂尖團隊!

1. 精通Python。 
2. 精通",www.104.com.tw/job/6yr9s?jobsource=2018indexpoc,"['Python', 'Django']"
綠界科技股份有限公司,Python 程式設計師,"1.Python 1 年以上的網站開發經驗、熟 Pyramid Framework 佳
2.熟 vue.js 
3.懂 MySQL、PostgreSQL 
4.懂 HTML、JavaScript、CSS 等相關應用
5.熟 GIT 版控",www.104.com.tw/job/6p5b1?jobsource=2018indexpoc,"['Python', 'MySQL', 'PostgreSQL', 'HTML', 'JavaScript', 'jQuery', 'CSS']"
勤業眾信聯合會計師事務所,Python後端工程師,"1. 協助模型後端架構開發及維護
2. 協助分析伺服器管理及維護
",www.104.com.tw/job/5yzmu?jobsource=2018indexpoc,"['Python', 'Excel', 'PowerPoint']"
順皇科技有限公司,Python資深工程師,"【應徵條件】

-熟悉Linux系統
-能獨立撰寫應用程式
-認真負責
-曾參與過大專案執行
-責任與抱負心強

【程式語言條件】
-須精通：Django、Python、PHP、RESTful API 
-資料庫：",www.104.com.tw/job/6txnz?jobsource=2018indexpoc,"['AJAX', 'PHP', 'Python', 'MySQL', 'JavaScript', 'Django']"
工智聯科技股份有限公司,Python軟體工程師,"1. Python 後端開發。
2. 熟悉資料庫C語言/MySQL者佳。
3. 熟悉 Linux開發環境者優先 。",www.104.com.tw/job/6ulns?jobsource=2018indexpoc,"['Linux', 'C++', 'Python', 'MySQL']"
香港商奇藝香港有限公司台北辦事處,Python自動化工程師,"愛奇藝是一個正向海外發展的國際化公司，目前多國都可使用愛奇藝國際模式觀看視頻。期待你的加入，讓我們為國際化的產品品質把關。

目前測試部門分為三種不同的職位：軟體測試工程師、軟體測試管理工程師、Python自動化工程師

Python自動",www.104.com.tw/job/6ju86?jobsource=2018indexpoc,[]
文境資科股份有限公司,Python Developer,"1. 協助完善自然語言處理框架
2. 協助建置自然語言處理各功能的的自動化測試(未來預計導入CI／CD流程)
3. 協助將組內的研究團隊成果加入公司的自然語言處理框架
4. 協助與合作夥伴的產品整合規劃",www.104.com.tw/job/6x67u?jobsource=2018indexpoc,"['Shell', 'Python']"
洺九自動化設備有限公司,Python軟件工程師,"1.自動化系統軟體撰寫 
2.系統軟硬體整合 
3.測試指令設計 
4.測試程式開發
5. 有Python程式開發應用經驗者優先
工作地點：目前在林口(廣達電腦附近)
客戶都是全世界最優秀，apple、google、廣達電腦。",www.104.com.tw/job/6i1oc?jobsource=2018indexpoc,"['Python', 'LabVIEW']"
蓋特資訊系統股份有限公司,Python 後端工程師," Ubuntu, Red Hat Linux
- Oracle Database, SQLite, Redis
- Supervisor, Docker, Nginx, Gunicorn
- Python, Django REST",www.104.com.tw/job/6vdrl?jobsource=2018indexpoc,[]
亞洲菁英資訊股份有限公司,Python Engineer(新竹),"1.具備物件導向程式開發：C++/C/ Python 
2.熟悉Python（用於ansible）、C++（用於SONiC）、PTF框架（SONiC Ansible測試中使用的數據生成器）。 
3.了解Jenkins的工作流程、Redis數據",www.104.com.tw/job/6ydrm?jobsource=2018indexpoc,"['Linux', 'C++', 'Java', 'Python']"
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),DRAM System Engineer - Taichung,"As a DRAM System Engineer in the DRAM Engineering Group at Micron Technology Inc. you are responsible for system-level DRAM validation, system characterization and failure analysis, and experimentation as requested Your day to day functions may include: running and configuring diagnostic software, system debug, designing experiments, analyzing and interpreting data, crafting custom tools and presenting data to customers both inside and outside of Micron. On occasion you may need to carry out these responsibilities at the customers’ site. You will work with other specialists and management within the DRAM Engineering Group as well as other individuals from other departments throughout Micron. You will also collaborate with system enablers outside of Micron.
 
Preferred Skills and Experience with:
•    Hardware: X86, ARM, System, DRAM, Intel, AMD
•    Equipment: Oscilloscope, logic analyzer, motherboard
•    Software: Python, Linux",www.104.com.tw/job/6wqvf?jobsource=hotjob_chr,[]
科熱臺灣有限公司,軟體開發工程師,"負責大型專案的系統開發、測試和維護支援。
內容包含：
1. 系統分析、設計和開發
2. 擬定測試計畫、測試案例/腳本、建置測試環境、準備測試資料和執行測試
3. UAT和系統上線支援

必要條件
– 熟悉前端 HTML/CSS/JavaScript 等技術。
– 熟悉後端 Java 程式開發。
– 熟悉關聯式資料庫設計。
– 了解 Git 開發流程。
– 邏輯分析能力強，可獨立運作，擁有優異解決問題的能力。
– 對英文閱讀能力有信心，能夠快速閱讀技術文件。
– 能有效應付緊湊的專案進度。
",www.104.com.tw/job/6taxy?jobsource=hotjob_chr,"['Java', 'Spring', 'ANSI SQL', 'Oracle', 'HTML', 'J2EE', 'JavaScript', 'CSS', 'VueJS']"
緯德科技股份有限公司 (TechLink Corporation),Python工程師,"- 熟悉Python語言撰寫實務經驗1年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。
- 配合公司專案需求至客戶端駐點服務。",www.104.com.tw/job/695ve?jobsource=2018indexpoc,['Python']
丸佳資訊有限公司,Python全端工程師,"Python(Flask)、JavaScript、HTML、jQuery
• 1年以上軟體開發經歷
• 熟悉SQL、NoSQL資料庫
• 有RESTful API 設計及實作經驗
• 熟悉版本管理軟體 Git 使用

【加分項目】
• 熟悉",www.104.com.tw/job/6xykm?jobsource=2018indexpoc,"['Python', 'HTML', 'JavaScript', 'jQuery']"
連億國際開發股份有限公司,Python工程師,"徵有python程式背景的工程師，工作內容包含下列：
1. 開發網站(如Django framework)
2. ERP系統串連，如以SQLAlchemy連結Relational Database (SQL Server)開發APP
3.",www.104.com.tw/job/6cma2?jobsource=2018indexpoc,"['Java', 'Python', 'HTML', 'JavaScript', 'jQuery']"
hyve solutions_海峰電腦股份有限公司,Python Software Engineer,"Hyve Solutions is looking for a talented junior/mid-level Python software engineer to help write Python programs. 
You are",www.104.com.tw/job/5tobs?jobsource=2018indexpoc,"['Linux', 'UNIX', 'OOAD', 'OOP', 'C', 'C++', 'Java', 'Python', 'Database Management', 'MySQL']"
香港商易購全球有限公司台灣分公司,Senior Full Stack Developer (Python),"
Buyandship致力於為客戶提供最一致，最高效的服務，努力成為亞洲領先的電子商務跨境物流公司。 我們正在尋找資深Python工程師一同開發Django和Vue.js的專案項目。 您將與我們的designer合作，將美學化為完美像素，開發供",www.104.com.tw/job/6yr8x?jobsource=2018indexpoc,"['Python', 'MS SQL', 'PostgreSQL', 'HTML', 'CSS']"
皓展資訊股份有限公司,Python軟體工程師,"【工作內容】
參與人工智慧與物聯網產品研發

【職位條件】
1. 1年以上開發經驗。 
2. 熟悉Flask或其他Python網頁開發框架。 
3. 具Git版本控制使用經驗。
4. 具Docker Container 經驗尤佳",www.104.com.tw/job/6xj6a?jobsource=2018indexpoc,['Python']
伊諾科技有限公司,Senior Python Data Backend Engineer,"1.Design, develop, and maintain Big Data related projects including EDW system and ETL pipeline for data access, collection, processing and storage.
2.Manage deployment of the Big Data Infrastructure and services on AWS.
3.Dedicate to Big Data and Machine Learning Platform using Apache Spark and related technologies.
4.Investigate, survey and evaluate various state-of-the-art technologies.
5.Introduce new technologies and tackle the derived problems.
6.Implement and popularize excellent software development processes and best practices.",www.104.com.tw/job/6qwx5?jobsource=2018indexpoc,"['Linux', 'Python']"
欣創科技有限公司,Python工程師(PN001),"+ 具備 Python 實務經驗 
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助 

加分 
++ 有使用 Python 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗",www.104.com.tw/job/6kgjo?jobsource=2018indexpoc,['Python']
富騰企管顧問有限公司,Python開發工程師,"職位描述：
1.負責項目基礎框架設計及構建。
2.負責公司python項目開發和維護，進行需求分析和功能設計。
3.具備需求分析能力，以及較強的邏輯分析和獨立解決問題能力。

福利制度
◆ 獎金 / 禮品類  
1.年終獎金  2.",www.104.com.tw/job/6qkea?jobsource=2018indexpoc,"['Python', 'MySQL', 'PostgreSQL']"
雲享資訊有限公司,初階 Python 工程師,"1. 使用 Python 作業
2. 主要工作內容為整理資料以及簡單的功能編寫
3. 了解基本數據概念
4. 協助分析師進行專案研究",www.104.com.tw/job/6y3fg?jobsource=2018indexpoc,"['Python', 'Excel', 'PowerPoint', 'Word']"
捷通軟體股份有限公司,[高薪獵才] 誠徵Python高手,"您是一名頂尖的軟體工程師嗎？! 與世界頂尖專家一同工作，負責AI系統研發，舞台接軌國際，只看能力~不看年紀! 
公司提供您一個自我實現的平台，歡迎有志挑戰國際市場的人才，加入我們的頂尖團隊!

1. 精通Python。 
2. 精通",www.104.com.tw/job/6yr9s?jobsource=2018indexpoc,"['Python', 'Django']"
綠界科技股份有限公司,Python 程式設計師,"1.Python 1 年以上的網站開發經驗、熟 Pyramid Framework 佳
2.熟 vue.js 
3.懂 MySQL、PostgreSQL 
4.懂 HTML、JavaScript、CSS 等相關應用
5.熟 GIT 版控",www.104.com.tw/job/6p5b1?jobsource=2018indexpoc,"['Python', 'MySQL', 'PostgreSQL', 'HTML', 'JavaScript', 'jQuery', 'CSS']"
勤業眾信聯合會計師事務所,Python後端工程師,"1. 協助模型後端架構開發及維護
2. 協助分析伺服器管理及維護
",www.104.com.tw/job/5yzmu?jobsource=2018indexpoc,"['Python', 'Excel', 'PowerPoint']"
順皇科技有限公司,Python資深工程師,"【應徵條件】

-熟悉Linux系統
-能獨立撰寫應用程式
-認真負責
-曾參與過大專案執行
-責任與抱負心強

【程式語言條件】
-須精通：Django、Python、PHP、RESTful API 
-資料庫：",www.104.com.tw/job/6txnz?jobsource=2018indexpoc,"['AJAX', 'PHP', 'Python', 'MySQL', 'JavaScript', 'Django']"
工智聯科技股份有限公司,Python軟體工程師,"1. Python 後端開發。
2. 熟悉資料庫C語言/MySQL者佳。
3. 熟悉 Linux開發環境者優先 。",www.104.com.tw/job/6ulns?jobsource=2018indexpoc,"['Linux', 'C++', 'Python', 'MySQL']"
香港商奇藝香港有限公司台北辦事處,Python自動化工程師,"愛奇藝是一個正向海外發展的國際化公司，目前多國都可使用愛奇藝國際模式觀看視頻。期待你的加入，讓我們為國際化的產品品質把關。

目前測試部門分為三種不同的職位：軟體測試工程師、軟體測試管理工程師、Python自動化工程師

Python自動",www.104.com.tw/job/6ju86?jobsource=2018indexpoc,[]
文境資科股份有限公司,Python Developer,"1. 協助完善自然語言處理框架
2. 協助建置自然語言處理各功能的的自動化測試(未來預計導入CI／CD流程)
3. 協助將組內的研究團隊成果加入公司的自然語言處理框架
4. 協助與合作夥伴的產品整合規劃",www.104.com.tw/job/6x67u?jobsource=2018indexpoc,"['Shell', 'Python']"
洺九自動化設備有限公司,Python軟件工程師,"1.自動化系統軟體撰寫 
2.系統軟硬體整合 
3.測試指令設計 
4.測試程式開發
5. 有Python程式開發應用經驗者優先
工作地點：目前在林口(廣達電腦附近)
客戶都是全世界最優秀，apple、google、廣達電腦。",www.104.com.tw/job/6i1oc?jobsource=2018indexpoc,"['Python', 'LabVIEW']"
蓋特資訊系統股份有限公司,Python 後端工程師," Ubuntu, Red Hat Linux
- Oracle Database, SQLite, Redis
- Supervisor, Docker, Nginx, Gunicorn
- Python, Django REST",www.104.com.tw/job/6vdrl?jobsource=2018indexpoc,[]
亞洲菁英資訊股份有限公司,Python Engineer(新竹),"1.具備物件導向程式開發：C++/C/ Python 
2.熟悉Python（用於ansible）、C++（用於SONiC）、PTF框架（SONiC Ansible測試中使用的數據生成器）。 
3.了解Jenkins的工作流程、Redis數據",www.104.com.tw/job/6ydrm?jobsource=2018indexpoc,"['Linux', 'C++', 'Java', 'Python']"
億力資訊股份有限公司,Python Engineer,"1.具備Python實務專案經驗
2.有NET framework/core、Node.JS或是其他開發框架佳
3.熟悉CI/CD開發工具
4.具IaaS/PaaS cloud service開發經驗佳
5.主動性強、樂與團隊互動討論
",www.104.com.tw/job/5z6t9?jobsource=2018indexpoc,[]
艾斯移動股份有限公司,[學生實習/工讀] 軟體工程師( Java/ Python),"計、開發、測試、部署與維護等工作。

[應徵條件]
1.   擁有1年以上 Java 或 Python 研發經驗 
2.   每週至少出席三天

[加分項目]
1.   可依產品story board快速規劃產品實作規格，如：開立",www.104.com.tw/job/6rj5s?jobsource=2018indexpoc,"['Java', 'Python']"
台灣智園有限公司,軟體程式設計師 (Python)," Python 為主
   b. Javascript ES6, Angularjs, Vue 以及 CSS 開發前端 UI Presentation Layer
   c. MySQL 
   d. Elastic Search ,",www.104.com.tw/job/43gvt?jobsource=2018indexpoc,"['Python', 'MySQL']"
聯成電腦有限公司(聯成電腦/聯成美語),Python 程式設計語言講師(嘉義分校),"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",www.104.com.tw/job/6w0gd?jobsource=2018indexpoc,['Python']
一卡通票證股份有限公司,Python Software Engineer / Python Web Application Engineer,電子支付與電子票證創新暨整合應用系統研發。,www.104.com.tw/job/6vd7f?jobsource=2018indexpoc,"['Java', 'Python', 'MS SQL', 'J2EE', 'J2SE', 'Django']"
亞洲菁英資訊股份有限公司,Python Engineer(台南),"1.具備物件導向程式開發：C++/C/ Python 
2.熟悉Python（用於ansible）、C++（用於SONiC）、PTF框架（SONiC Ansible測試中使用的數據生成器）。 
3.了解Jenkins的工作流程、Redis數據",www.104.com.tw/job/6ydr6?jobsource=2018indexpoc,"['Linux', 'C++', 'Java', 'Python']"
永豐金證券股份有限公司,Python Django Web Developer (應用一科),We are looking for  Python Django Web Developers responsible for managing the interchange of data between the server and,www.104.com.tw/job/6winm?jobsource=2018indexpoc,['Python']
天下遊戲數位科技有限公司,python 後端工程師,"1 熟python程式，會寫 http server
2 後端以golang為主(可進公司再學習)
3 有資料庫程式經驗
4 熟linux系統
5 有OOP概念
6 對系統架構有興趣
7 我們使用CI/CD
8 要求寫單元測試、整合",www.104.com.tw/job/6gls5?jobsource=2018indexpoc,"['OOP', 'Github', 'Python', 'MySQL', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'HTTP', 'TCP/IP']"
聯成電腦有限公司(聯成電腦/聯成美語),Python 程式設計語言講師(台南地區),"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",www.104.com.tw/job/5uu1l?jobsource=2018indexpoc,['Python']
富研智醫股份有限公司,python工程師,"1.負責醫療資訊網站程式開發
2.協助研發新技術與工具",www.104.com.tw/job/5slvw?jobsource=2018indexpoc,[]
美樂蒂文教科技興業股份有限公司,Python 程式設計開發人員," Build websites and apps
> Maintain websites and apps, etc.

Skills:
-Python
-Django
-SQL

我們是一間經營長達30多年的幼兒美語出版公司，正往多",www.104.com.tw/job/6ydib?jobsource=2018indexpoc,"['Python', 'ANSI SQL', 'MS SQL', 'PL/SQL', 'Django']"
美商網碩科技股份有限公司台灣分公司,SENIOR PYTHON DEVELOPER 資深後端工程師,"WHAT WE WANT 
FriendFinder Networks is looking for a Senior Python Developer who will work with cross functional teams to",www.104.com.tw/job/6n4i4?jobsource=2018indexpoc,"['Github', 'Python', 'Data Modeling', 'MySQL', 'PL/SQL', 'Node.js']"
聯成電腦有限公司(聯成電腦/聯成美語),Python 程式設計語言講師(台北地區),"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",www.104.com.tw/job/5pxb7?jobsource=2018indexpoc,['Python']
聯成電腦有限公司(聯成電腦/聯成美語),Python 程式設計語言講師(桃竹地區),"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",www.104.com.tw/job/5uu1e?jobsource=2018indexpoc,['Python']
聯成電腦有限公司(聯成電腦/聯成美語),Python 程式設計語言講師(高雄地區),"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",www.104.com.tw/job/5uu1q?jobsource=2018indexpoc,['Python']
聯成電腦有限公司(聯成電腦/聯成美語),Python 程式設計語言講師 - 桃園分校,"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",www.104.com.tw/job/5xhc8?jobsource=2018indexpoc,['Python']
聯成電腦有限公司(聯成電腦/聯成美語),Python 程式設計語言講師(斗六分校),"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",www.104.com.tw/job/6l7po?jobsource=2018indexpoc,['Python']
聯成電腦有限公司(聯成電腦/聯成美語),Python 程式設計語言講師 (台中地區),"【業界經驗】至少有python開發經驗2年以上。
【授課經驗】若有尤佳，若無則需準備教材試教以確認教學能力。
【其它】
+ 熟 Python程式語言、Scipy、Spark、SQL Server資料庫、資料探勘、統計分析相關經驗。
+ 需",www.104.com.tw/job/5uu1f?jobsource=2018indexpoc,['Python']
聯成電腦有限公司(聯成電腦/聯成美語),Python程式線上直播課程講師,"目前我們正在招募線上直播程式講師，希望對直播程式教學有熱情，喜歡在直播教室線上和學員互動，舉辦實體Workshop技術交流會。
職務說明： 
主要教授Python程式語言，運用在量化投資、量化分析領域。
配合度高可長期授課，授課專業能力佳，",www.104.com.tw/job/6nu69?jobsource=2018indexpoc,['Python']
誠雲科技股份有限公司,Python後端工程師(台中總部),"- 熟悉 Python
- 熟悉 Web 程式開發
- 具Linux主機維護經驗佳
- 有api server開發經驗佳
其它條件 
1. 網路應用程式開發有極大熱忱
2. 思路清晰，有良好溝通協調能力
3. 積極、認真與負責，喜好",www.104.com.tw/job/4cifp?jobsource=2018indexpoc,['Python']
伊諾科技有限公司,不希望只能召喚爬蟲的 Python 工程師,"我們期待您在加入伊諾後，不會只想安逸的當一個只召喚爬蟲的 Python 攻城獅，而是渴望挑戰以前沒做過的各種任務。在工作中學習，經由學習來完成任務，藉由完成任務的經驗來造就大神。

當公司業務需要資料來支持時，開發團隊會希望 Python 工",www.104.com.tw/job/6ucvg?jobsource=2018indexpoc,['Python']
Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,外商! Software Developer/ Automation Test Developer/ Python/ Linux/ Server," engineering / information management.
3. Familiar with Linux development system
4. Familiar with Python programming language",www.104.com.tw/job/6wqxa?jobsource=2018indexpoc,['Python']
